Number,State Code,County Code,Site Num,Date Local,Local Site Name,State Name,County Name,City Name,Temp Arithmetic Mean,Wind SpeedArithmetic Mean,Wind Direction Arithmetic Mean,Barometric pressure Arithmetic Mean,CO Arithmetic Mean,CO AQI,SO2 Arithmetic Mean,SO2 AQI,NO2 Arithmetic Mean,NO2 AQI,Ozone Arithmetic Mean,Ozone AQI,PM2.5 Arithmetic Mean,PM2.5 AQI,AQI,TAQI
1,1,73,23,2014/1/1,North Birmingham,Alabama,Jefferson,Birmingham,42.566667,1.2,107.666667,998.5,16.5125,6,0.01325,3,16.5125,44,0.01325,19,14.3,56,56,27
2,1,73,23,2014/1/3,North Birmingham,Alabama,Jefferson,Birmingham,26.825,2.270833,163.75,1002.083333,1.725,2,0.019708,6,1.725,1,0.019708,27,4.9,20,27,29
3,1,73,23,2014/1/6,North Birmingham,Alabama,Jefferson,Birmingham,19.6375,7.8875,74.333333,1000.6375,4.872727,1,0.028583,0,4.872727,8,0.028583,29,6.5,27,29,63
4,1,73,23,2014/1/7,North Birmingham,Alabama,Jefferson,Birmingham,15.929167,0.975,206.833333,1006.491667,12.7625,5,0.014792,4,12.7625,63,0.014792,23,5.1,21,63,44
5,1,73,23,2014/2/18,North Birmingham,Alabama,Jefferson,Birmingham,58.675,1.95,191.541667,996.420833,7.693333,5,0.016375,7,7.693333,13,0.016375,22,10.5,44,44,45
6,1,73,23,2014/2/19,North Birmingham,Alabama,Jefferson,Birmingham,62.770833,1.8,178.5,994.204167,12.175,3,0.01375,1,12.175,24,0.01375,19,10.8,45,45,29
7,1,73,23,2014/2/20,North Birmingham,Alabama,Jefferson,Birmingham,66.7375,1.75,109.666667,991.283333,4.875,3,0.019125,1,4.875,7,0.019125,22,7,29,29,34
8,1,73,23,2014/2/21,North Birmingham,Alabama,Jefferson,Birmingham,50.729167,1.970833,201.541667,993.775,10.183333,5,0.018625,9,10.183333,32,0.018625,33,8.1,34,34,52
9,1,73,23,2014/2/22,North Birmingham,Alabama,Jefferson,Birmingham,52.691667,1.55,92.416667,995.329167,16.070833,7,0.016875,11,16.070833,33,0.016875,31,12.4,52,52,43
10,1,73,23,2014/2/23,North Birmingham,Alabama,Jefferson,Birmingham,57.7875,0.858333,202.666667,992.695833,18.908333,6,0.018375,11,18.908333,33,0.018375,36,10.3,43,43,30
11,1,73,23,2014/2/24,North Birmingham,Alabama,Jefferson,Birmingham,51.041667,2.208333,208.708333,996.245833,6.770833,7,0.021292,9,6.770833,26,0.021292,30,5.9,25,30,46
12,1,73,23,2014/2/25,North Birmingham,Alabama,Jefferson,Birmingham,48.925,0.95,144.291667,993.533333,17.004762,3,0.016417,27,17.004762,28,0.016417,23,11.1,46,46,35
13,1,73,23,2014/2/26,North Birmingham,Alabama,Jefferson,Birmingham,35.708333,2.429167,192.375,990.645833,4.595833,2,0.02475,1,4.595833,8,0.02475,27,8.5,35,35,34
14,1,73,23,2014/2/27,North Birmingham,Alabama,Jefferson,Birmingham,35.220833,1.225,240.875,991.616667,6.12,6,0.019333,1,6.12,23,0.019333,34,6.6,28,34,58
15,1,73,23,2014/3/4,North Birmingham,Alabama,Jefferson,Birmingham,35.129167,1.2,122.833333,995.895833,11.190909,3,0.012458,6,11.190909,14,0.012458,25,15.6,58,58,50
16,1,73,23,2014/3/7,North Birmingham,Alabama,Jefferson,Birmingham,50.320833,0.8875,213.875,992.4,13.394118,5,0.015167,19,13.394118,37,0.015167,29,12,50,50,64
17,1,73,23,2014/3/8,North Birmingham,Alabama,Jefferson,Birmingham,54.270833,1.325,196.458333,996.25,17.566667,7,0.013708,10,17.566667,37,0.013708,31,18.5,64,64,58
18,1,73,23,2014/3/9,North Birmingham,Alabama,Jefferson,Birmingham,58.1875,0.9,229.583333,998.358333,12.908333,8,0.019208,0,12.908333,36,0.019208,35,15.4,58,58,71
19,1,73,23,2014/3/10,North Birmingham,Alabama,Jefferson,Birmingham,57.525,1.2125,201.75,994.1,17.0875,6,0.014375,4,17.0875,33,0.014375,30,21.6,71,71,73
20,1,73,23,2014/3/11,North Birmingham,Alabama,Jefferson,Birmingham,62.9875,1.7875,227.208333,986.954167,14.245833,8,0.021708,10,14.245833,30,0.021708,33,22.7,73,73,51
21,1,73,23,2014/3/12,North Birmingham,Alabama,Jefferson,Birmingham,52.920833,3.070833,263.291667,986.541667,6.164286,2,0.023583,0,6.164286,13,0.023583,31,12.3,51,51,43
22,1,73,23,2014/3/13,North Birmingham,Alabama,Jefferson,Birmingham,44.525,1.3625,174.458333,998.045833,13.614286,5,0.020875,1,13.614286,34,0.020875,36,10.3,43,43,43
23,1,73,23,2014/3/14,North Birmingham,Alabama,Jefferson,Birmingham,54.525,1.570833,233.958333,998.2875,19.130435,6,0.023958,3,19.130435,35,0.023958,35,10.2,43,43,59
24,1,73,23,2014/3/15,North Birmingham,Alabama,Jefferson,Birmingham,60.620833,1.195833,180.958333,995.020833,8.5875,3,0.029125,6,8.5875,13,0.029125,34,16,59,59,31
25,1,73,23,2014/3/16,North Birmingham,Alabama,Jefferson,Birmingham,61.408333,1.641667,188.958333,982.5875,9.65,3,0.018167,0,9.65,31,0.018167,21,6.6,28,31,47
26,1,73,23,2014/3/17,North Birmingham,Alabama,Jefferson,Birmingham,43.308333,1.675,302.958333,983.316667,4.541667,5,0.0115,0,4.541667,7,0.0115,13,11.3,47,47,40
27,1,73,23,2014/3/18,North Birmingham,Alabama,Jefferson,Birmingham,47.491667,1.675,133.041667,989.383333,7.0125,3,0.0115,20,7.0125,11,0.0115,18,9.6,40,40,54
28,1,73,23,2014/3/19,North Birmingham,Alabama,Jefferson,Birmingham,54.204167,2.179167,203.75,994.5125,9.045833,5,0.0175,1,9.045833,24,0.0175,25,13.7,54,54,51
29,1,73,23,2014/3/20,North Birmingham,Alabama,Jefferson,Birmingham,53.716667,1.720833,139.5,996.091667,11.925,5,0.017,7,11.925,31,0.017,35,12.1,51,51,67
30,1,73,23,2014/3/21,North Birmingham,Alabama,Jefferson,Birmingham,56.816667,1.216667,154.833333,994.820833,21.241667,7,0.021529,9,21.241667,37,0.021529,41,19.5,67,67,36
31,1,73,23,2014/3/24,North Birmingham,Alabama,Jefferson,Birmingham,50.679167,1.729167,203.166667,995.479167,6.123529,2,0.031292,16,6.123529,9,0.031292,35,8.7,36,36,42
32,1,73,23,2014/3/25,North Birmingham,Alabama,Jefferson,Birmingham,43.6,2.191667,270,995.370833,4.840909,2,0.029792,4,4.840909,15,0.029792,35,10,42,42,40
33,1,73,23,2014/3/26,North Birmingham,Alabama,Jefferson,Birmingham,43.866667,0.920833,141.75,1000.7625,12.129167,3,0.028917,9,12.129167,32,0.028917,38,9.6,40,40,58
34,1,73,23,2014/3/27,North Birmingham,Alabama,Jefferson,Birmingham,57.8625,1.854167,91.541667,997.466667,6.0125,2,0.035167,3,6.0125,13,0.035167,40,15.3,58,58,25
35,1,73,23,2014/3/28,North Birmingham,Alabama,Jefferson,Birmingham,59.308333,1.9875,57.625,992.954167,7.854167,2,0.022542,11,7.854167,12,0.022542,25,4.5,19,25,40
36,1,73,23,2014/3/29,North Birmingham,Alabama,Jefferson,Birmingham,55.704167,2.291667,131.625,991.3,3.133333,2,0.02625,0,3.133333,8,0.02625,28,9.6,40,40,36
37,1,73,23,2014/3/30,North Birmingham,Alabama,Jefferson,Birmingham,52.445833,1.966667,223.416667,997.933333,6.516667,3,0.022875,6,6.516667,26,0.022875,36,8.7,36,36,63
38,1,73,23,2014/3/31,North Birmingham,Alabama,Jefferson,Birmingham,58.083333,1.175,154.75,996.8125,21.854545,6,0.02025,43,21.854545,38,0.02025,37,18,63,63,35
39,1,73,23,2014/4/4,North Birmingham,Alabama,Jefferson,Birmingham,63.125,2.620833,300.291667,991.6875,9.892308,2,0.024524,1,9.892308,30,0.024524,25,8.4,35,35,37
40,1,73,23,2014/4/5,North Birmingham,Alabama,Jefferson,Birmingham,54.716667,2.258333,187.083333,994.6875,2.554167,2,0.0315,0,2.554167,11,0.0315,37,6.3,26,37,26
41,1,73,23,2014/4/6,North Birmingham,Alabama,Jefferson,Birmingham,54.404167,1.6125,117.25,990.229167,6.604167,2,0.021625,16,6.604167,14,0.021625,26,4.2,18,26,37
42,1,73,23,2014/4/7,North Birmingham,Alabama,Jefferson,Birmingham,58.183333,2.491667,189.208333,983.85,6.041667,2,0.022875,3,6.041667,12,0.022875,31,8.8,37,37,41
43,1,73,23,2014/4/8,North Birmingham,Alabama,Jefferson,Birmingham,53.804167,1.566667,278.041667,987.104167,4.304545,2,0.033375,0,4.304545,12,0.033375,41,9.4,39,41,41
44,1,73,23,2014/4/9,North Birmingham,Alabama,Jefferson,Birmingham,57.721739,1.46087,242.565217,996.056522,8.469565,3,0.025292,0,8.469565,33,0.025292,41,8.8,37,41,58
45,1,73,23,2014/4/10,North Birmingham,Alabama,Jefferson,Birmingham,62.541667,1.820833,221.708333,999.154167,13.595833,7,0.030917,4,13.595833,31,0.030917,40,15.4,58,58,46
46,1,73,23,2014/4/11,North Birmingham,Alabama,Jefferson,Birmingham,64.2125,2.720833,302.916667,999.375,11.466667,3,0.024917,7,11.466667,31,0.024917,38,11,46,46,57
47,1,73,23,2014/4/12,North Birmingham,Alabama,Jefferson,Birmingham,69.154167,1.654167,202.125,997.9375,12.845833,5,0.028375,11,12.845833,34,0.028375,38,14.8,57,57,31
48,1,73,23,2014/4/13,North Birmingham,Alabama,Jefferson,Birmingham,71.758333,1.729167,167.791667,994.8125,2.770833,3,0.031375,4,2.770833,7,0.031375,31,7,29,31,25
49,1,73,23,2014/4/14,North Birmingham,Alabama,Jefferson,Birmingham,64.145833,1.395833,194.625,988.795833,8.6625,2,0.01875,4,8.6625,18,0.01875,25,5.8,24,25,36
50,1,73,23,2014/4/15,North Birmingham,Alabama,Jefferson,Birmingham,45.995833,2.6875,255.458333,992.395833,2.545833,2,0.030125,0,2.545833,7,0.030125,36,8.1,34,36,39
51,1,73,23,2014/4/16,North Birmingham,Alabama,Jefferson,Birmingham,51.133333,2.604167,94.166667,999.0875,7.295833,3,0.033417,20,7.295833,21,0.033417,39,8.2,34,39,38
52,1,73,23,2014/4/17,North Birmingham,Alabama,Jefferson,Birmingham,59.4,1.825,125.833333,1002.170833,4.491667,1,0.034125,3,4.491667,9,0.034125,36,9,38,38,48
53,1,73,23,2014/4/18,North Birmingham,Alabama,Jefferson,Birmingham,56.158333,2.029167,187.083333,999.266667,6.358333,1,0.026667,10,6.358333,10,0.026667,29,11.5,48,48,44
54,1,73,23,2014/4/19,North Birmingham,Alabama,Jefferson,Birmingham,63.154167,1.958333,139.125,997.308333,5.7,2,0.031875,19,5.7,16,0.031875,43,10.6,44,44,54
55,1,73,23,2014/4/20,North Birmingham,Alabama,Jefferson,Birmingham,66.2,0.966667,108.125,999.2,8.95,3,0.02925,13,8.95,28,0.02925,45,13.6,54,54,68
56,1,73,23,2014/4/21,North Birmingham,Alabama,Jefferson,Birmingham,67.520833,1.7125,208.375,996.0125,15.427273,6,0.005,7,15.427273,33,0.005,6,20.4,68,68,56
57,1,73,23,2014/4/22,North Birmingham,Alabama,Jefferson,Birmingham,66.4625,1.2625,239.625,990.7,11.7,3,0.021923,1,11.7,25,0.021923,37,14.7,56,56,71
58,1,73,23,2014/4/23,North Birmingham,Alabama,Jefferson,Birmingham,65.9875,1.070833,135.916667,991.908333,8.7,3,0.03425,4,8.7,30,0.03425,71,14.1,55,71,67
59,1,73,23,2014/4/24,North Birmingham,Alabama,Jefferson,Birmingham,69.475,3.408333,147.958333,991.258333,13.333333,5,0.0415,13,13.333333,32,0.0415,54,19.7,67,67,45
60,1,73,23,2014/4/25,North Birmingham,Alabama,Jefferson,Birmingham,68.829167,1.945833,264.041667,991.3625,5.333333,2,0.033708,0,5.333333,19,0.033708,45,10.1,42,45,71
61,1,73,23,2014/4/26,North Birmingham,Alabama,Jefferson,Birmingham,70.175,1.2125,130.458333,993.020833,12.520833,5,0.034,11,12.520833,28,0.034,71,13.2,53,71,41
62,1,73,23,2014/4/27,North Birmingham,Alabama,Jefferson,Birmingham,67.804167,1.345833,160.208333,990.545833,7.05,6,0.022,4,7.05,27,0.022,24,9.8,41,41,36
63,1,73,23,2014/4/28,North Birmingham,Alabama,Jefferson,Birmingham,74.359091,1.872727,153.5,986.659091,3.6125,1,0.020792,3,3.6125,8,0.020792,24,8.7,36,36,52
64,1,73,23,2014/4/30,North Birmingham,Alabama,Jefferson,Birmingham,66.53125,2.40625,275,990.66875,6.35,3,0.035706,0,6.35,25,0.035706,42,12.5,52,52,44
65,1,73,23,2014/5/1,North Birmingham,Alabama,Jefferson,Birmingham,59.095833,1.979167,213.166667,993.820833,5.6375,2,0.035625,0,5.6375,19,0.035625,44,5.8,24,44,48
66,1,73,23,2014/5/2,North Birmingham,Alabama,Jefferson,Birmingham,62.345833,1.020833,226.5,992.558333,10.445833,2,0.030667,17,10.445833,26,0.030667,48,7.6,32,48,61
67,1,73,23,2014/5/3,North Birmingham,Alabama,Jefferson,Birmingham,65.125,1.191667,171.916667,994.2625,12.808333,8,0.030375,3,12.808333,29,0.030375,61,13.1,53,61,74
68,1,73,23,2014/5/4,North Birmingham,Alabama,Jefferson,Birmingham,72.375,1.441667,221.666667,996.375,13.779167,7,0.036583,3,13.779167,35,0.036583,74,15.1,57,74,74
69,1,73,23,2014/5/5,North Birmingham,Alabama,Jefferson,Birmingham,76.708333,1.704167,185,994.325,11.527273,5,0.040958,3,11.527273,26,0.040958,74,11.4,48,74,84
70,1,73,23,2014/5/6,North Birmingham,Alabama,Jefferson,Birmingham,74.158333,1.729167,264.958333,993.329167,13.941667,3,0.041,3,13.941667,26,0.041,84,14.3,56,84,50
71,1,73,23,2014/5/7,North Birmingham,Alabama,Jefferson,Birmingham,74.583333,2.4125,231.208333,996.608333,9.191667,3,0.040917,7,9.191667,24,0.040917,49,11.9,50,50,46
72,1,73,23,2014/5/8,North Birmingham,Alabama,Jefferson,Birmingham,76.820833,2.1125,202.833333,998.366667,8.791667,2,0.038333,6,8.791667,25,0.038333,46,11,46,46,34
73,1,73,23,2014/5/9,North Birmingham,Alabama,Jefferson,Birmingham,70.845833,1.7,235.291667,996.520833,8.291667,3,0.024417,6,8.291667,23,0.024417,32,8.1,34,34,34
74,1,73,23,2014/5/10,North Birmingham,Alabama,Jefferson,Birmingham,71.2,1.320833,183.125,995.804167,10.35,3,0.02175,3,10.35,19,0.02175,34,8.1,34,34,47
75,1,73,23,2014/5/11,North Birmingham,Alabama,Jefferson,Birmingham,75.933333,2.325,53.208333,997.275,5.05,3,0.024458,0,5.05,16,0.024458,33,11.2,47,47,52
76,1,73,23,2014/5/12,North Birmingham,Alabama,Jefferson,Birmingham,77.7,2.170833,123.75,998.4625,6.325,2,0.027917,4,6.325,10,0.027917,36,12.6,52,52,52
77,1,73,23,2014/5/13,North Birmingham,Alabama,Jefferson,Birmingham,77.620833,1.345833,160.375,997.620833,11.945833,3,0.029208,11,11.945833,31,0.029208,44,12.8,52,52,39
78,1,73,23,2014/5/14,North Birmingham,Alabama,Jefferson,Birmingham,69.533333,1.570833,178.333333,993.683333,10.120833,3,0.021083,3,10.120833,18,0.021083,21,9.3,39,39,41
79,1,73,23,2014/5/15,North Birmingham,Alabama,Jefferson,Birmingham,56.516667,1.633333,278.625,995.5375,4.929167,3,0.028042,0,4.929167,22,0.028042,41,9.6,40,41,50
80,1,73,23,2014/5/16,North Birmingham,Alabama,Jefferson,Birmingham,59.2375,1.3875,198.291667,996.7375,13.7125,6,0.028625,3,13.7125,34,0.028625,50,7.9,33,50,74
81,1,73,23,2014/5/17,North Birmingham,Alabama,Jefferson,Birmingham,62.229167,1.183333,145.125,997.954167,10.0375,6,0.038208,17,10.0375,28,0.038208,74,12.2,51,74,41
82,1,73,23,2014/5/18,North Birmingham,Alabama,Jefferson,Birmingham,61.958333,1.558333,99.666667,999.345833,5.925,2,0.028708,6,5.925,12,0.028708,41,8.4,35,41,61
83,1,73,23,2014/5/19,North Birmingham,Alabama,Jefferson,Birmingham,70.35,0.904167,100.75,1000.341667,8.486364,2,0.0385,14,8.486364,20,0.0385,61,6.6,28,61,74
84,1,73,23,2014/5/20,North Birmingham,Alabama,Jefferson,Birmingham,76.595833,1.7875,245.541667,1000.283333,8.091667,2,0.045792,4,8.091667,20,0.045792,74,9.6,40,74,61
85,1,73,23,2014/5/21,North Birmingham,Alabama,Jefferson,Birmingham,77.270833,1.891667,166.916667,999.441667,11.395833,3,0.037167,3,11.395833,29,0.037167,61,10.2,43,61,49
86,1,73,23,2014/6/25,North Birmingham,Alabama,Jefferson,Birmingham,81.0375,1.6,252.541667,997.916667,6.466667,2,0.02925,4,6.466667,11,0.02925,41,11.7,49,49,24
87,1,73,23,2014/6/26,North Birmingham,Alabama,Jefferson,Birmingham,75.65,1.7,230.458333,997.070833,6.204167,2,0.016917,1,6.204167,14,0.016917,24,5.5,23,24,35
88,1,73,23,2014/6/27,North Birmingham,Alabama,Jefferson,Birmingham,79.3125,1.366667,228.5,998.45,7.35,5,0.01975,3,7.35,15,0.01975,31,8.5,35,35,40
89,1,73,23,2014/6/28,North Birmingham,Alabama,Jefferson,Birmingham,79.0625,1,178.125,1000.891667,6.2,2,0.024292,3,6.2,13,0.024292,40,8.5,35,40,39
90,1,73,23,2014/6/29,North Birmingham,Alabama,Jefferson,Birmingham,82.704167,1.416667,207.75,1000.508333,7.3375,1,0.013792,3,7.3375,17,0.013792,24,9.4,39,39,83
91,1,73,23,2014/6/30,North Birmingham,Alabama,Jefferson,Birmingham,84.8125,1.7625,234.958333,997.183333,7.154545,1,0.014292,1,7.154545,15,0.014292,22,27.3,83,83,59
92,1,73,23,2014/7/7,North Birmingham,Alabama,Jefferson,Birmingham,82.970833,1.158333,209.375,996.775,9.741667,2,0.0055,1,9.741667,23,0.0055,6,15.9,59,59,63
93,1,73,23,2014/7/8,North Birmingham,Alabama,Jefferson,Birmingham,84.508333,2.3125,225.666667,997.316667,7.341667,3,0.040842,3,7.341667,17,0.040842,46,18,63,63,44
94,1,73,23,2014/7/9,North Birmingham,Alabama,Jefferson,Birmingham,80.833333,1.358333,267.5,997.054167,7.7875,2,0.03,1,7.7875,22,0.03,44,9.3,39,44,45
95,1,73,23,2014/7/10,North Birmingham,Alabama,Jefferson,Birmingham,82.104167,1.258333,285,997.941667,5.029167,2,0.03325,0,5.029167,15,0.03325,45,10.9,45,45,60
96,1,73,23,2014/7/11,North Birmingham,Alabama,Jefferson,Birmingham,82.8375,1.008333,242.25,999.929167,8.075,2,0.032667,30,8.075,23,0.032667,51,16.5,60,60,58
97,1,73,23,2014/7/12,North Birmingham,Alabama,Jefferson,Birmingham,83.854167,0.954167,93.291667,1000.241667,12.141667,7,0.030125,10,12.141667,28,0.030125,46,15.3,58,58,53
98,1,73,23,2014/7/13,North Birmingham,Alabama,Jefferson,Birmingham,82.241667,1.004167,133.208333,998.375,11.833333,9,0.0265,3,11.833333,25,0.0265,48,12.9,53,53,35
99,1,73,23,2014/7/22,North Birmingham,Alabama,Jefferson,Birmingham,80.383333,1.1375,105.875,998.195833,6.041667,2,0.021,1,6.041667,9,0.021,32,8.3,35,35,40
100,1,73,23,2014/7/23,North Birmingham,Alabama,Jefferson,Birmingham,78.883333,0.683333,168.875,997,11.4125,2,0.022958,6,11.4125,26,0.022958,40,9.6,40,40,52
101,1,73,23,2014/7/24,North Birmingham,Alabama,Jefferson,Birmingham,80.6125,1.329167,268.625,994.954167,7.295833,3,0.029333,4,7.295833,22,0.029333,39,12.4,52,52,57
102,1,73,23,2014/7/25,North Birmingham,Alabama,Jefferson,Birmingham,80.041667,0.983333,200.583333,995.8375,10.233333,3,0.02725,4,10.233333,23,0.02725,47,15.1,57,57,58
103,1,73,23,2014/7/26,North Birmingham,Alabama,Jefferson,Birmingham,81.820833,1.0625,184.125,996.6625,10.8,6,0.02725,11,10.8,23,0.02725,48,15.3,58,58,61
104,1,73,23,2014/7/27,North Birmingham,Alabama,Jefferson,Birmingham,85.904167,2.054167,200.333333,996.091667,6.8125,6,0.026708,3,6.8125,23,0.026708,36,16.7,61,61,58
105,1,73,23,2014/7/28,North Birmingham,Alabama,Jefferson,Birmingham,83.158333,1.866667,304.375,994.958333,3.122727,1,0.030958,0,3.122727,6,0.030958,41,15.3,58,58,44
106,1,73,23,2014/7/29,North Birmingham,Alabama,Jefferson,Birmingham,73.9875,1.379167,269.833333,996.404167,4.758333,2,0.031333,6,4.758333,13,0.031333,39,10.6,44,44,52
107,1,73,23,2014/7/30,North Birmingham,Alabama,Jefferson,Birmingham,73.820833,1.158333,87,997.083333,8.495833,3,0.034375,17,8.495833,25,0.034375,46,12.8,52,52,57
108,1,73,23,2014/7/31,North Birmingham,Alabama,Jefferson,Birmingham,75.570833,1.075,142.541667,996.895833,8.279167,2,0.037208,19,8.279167,15,0.037208,50,15,57,57,53
109,1,73,23,2014/8/1,North Birmingham,Alabama,Jefferson,Birmingham,78.195833,1.0375,62.541667,996.291667,7.141667,2,0.03575,19,7.141667,16,0.03575,50,13,53,53,44
110,1,73,23,2014/8/2,North Birmingham,Alabama,Jefferson,Birmingham,78.516667,1.0625,116.625,996.841667,6.508333,3,0.030958,7,6.508333,13,0.030958,44,10.5,44,44,54
111,1,73,23,2014/8/3,North Birmingham,Alabama,Jefferson,Birmingham,80.9125,1.1125,45.625,997.033333,8.9375,3,0.028792,14,8.9375,27,0.028792,44,13.6,54,54,72
112,1,73,23,2014/8/4,North Birmingham,Alabama,Jefferson,Birmingham,82.704167,1.0125,46.583333,996.820833,12.85,3,0.038353,16,12.85,24,0.038353,67,22,72,72,77
113,1,73,23,2014/8/5,North Birmingham,Alabama,Jefferson,Birmingham,83.65,0.7,115.708333,997.266667,16.591667,3,0.03575,17,16.591667,34,0.03575,77,24.1,76,77,73
114,1,73,23,2014/8/6,North Birmingham,Alabama,Jefferson,Birmingham,84.879167,0.883333,197.375,996.658333,14.579167,7,0.026688,14,14.579167,40,0.026688,49,22.6,73,73,97
115,1,73,23,2014/8/7,North Birmingham,Alabama,Jefferson,Birmingham,86.1625,1.025,162.166667,995.0875,14.975,6,0.03725,97,14.975,38,0.03725,67,26.9,82,97,52
116,1,73,23,2014/8/8,North Birmingham,Alabama,Jefferson,Birmingham,81.7125,1.191667,170.666667,995.0375,13.3375,5,0.025417,31,13.3375,26,0.025417,44,12.4,52,52,42
